web-scraper-order,web-scraper-start-url,Pagination,Link,Link-href,Brand,Model,Price,Mileage,transmission,Buildyear,fuel type,power,seller,condition,doors,chairs,driveline,apk
"1654877947-271","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=3","Porsche 992 3.0 Carrera | Sport Design | Sport Chrono | Schuif","https://www.autoscout24.nl/aanbod/porsche-992-3-0-carrera-sport-design-sport-chrono-schuif-benzine-wit-0f51ce53-f33f-4c91-839f-bb372466671d","Porsche","992","€ 154.950,-","13.650 km","Automatisch","03/2020","Benzine","283 kW (385 PK)","Autobedrijf","Gebruikt","2","4","Achter","03/2024"
"1654881147-563","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=18","Ford Mustang 3.7 V6Parkeerhulp met camera, Climate Control, Sportonderstel, Lichtsensor, Elektrische ramen","https://www.autoscout24.nl/aanbod/ford-mustang-3-7-v6-benzine-zwart-96668b25-2998-477a-9c87-4b36dcde5672","Ford","Mustang","€ 32.750,-","52.636 km","Automatisch","02/2015","Benzine","224 kW (305 PK)","Autobedrijf","Gebruikt","2","null","null","01/2024"
"1654880736-527","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=16","Alfa Romeo Stelvio MY 2021 2.9T V6 510pk  QUADRIFOGLIOPanorama dak, Elektrische stoelverstelling, Regensensor, Parkeerhulp achter, Multifunctioneel stuurwiel, Lichtmetalen velgen, Dakrails, Open dak","https://www.autoscout24.nl/aanbod/alfa-romeo-stelvio-my-2021-2-9t-v6-510pk-quadrifoglio-benzine-grijs-aab065e4-abab-4348-af87-b25039f549e9","Alfa Romeo","Stelvio","€ 98.500,-1","20.724 km","Automatisch","12/2020","Benzine","375 kW (510 PK)","Autobedrijf","Gebruikt","5","null","null","12/2024"
"1654878559-327","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=6","Mercedes-Benz C 350 350e Business Incl. BTW [ Luchtvering Navi Half-LeParkeerhulp met camera, Parkeerhulp voor, Luchtvering, Navigatiesysteem, Trekhaak, Elektrisch verstelbare buitenspiegels, Climate Control, Airbag passagier","https://www.autoscout24.nl/aanbod/mercedes-benz-c-350-350e-business-incl-btw-luchtvering-navi-half-le-elektro-benzine-blauw-eb6d53b8-e857-44a0-b224-f52536e6dc75","Mercedes-Benz","C 350","€ 22.445,-1","174.653 km","Automatisch","12/2016","Elektro/Benzine","155 kW (211 PK)","Autobedrijf","Gebruikt","4","5","null","10/2023"
"1654878715-341","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=7","Audi RS4 Avant 4.2 FSI Quattro | Carbon | Panorama Dak | 20Regensensor, Panorama dak, Sportonderstel, Sportstoelen, Boordcomputer, Dakrails, Start/Stop-systeem, Bochtverlichting","https://www.autoscout24.nl/aanbod/audi-rs4-avant-4-2-fsi-quattro-carbon-panorama-dak-20-benzine-wit-3f630202-d8ea-4416-b1c6-b03823d472f0","Audi","RS4","€ 35.900,-","168.766 km","Automatisch","03/2013","Benzine","332 kW (451 PK)","Autobedrijf","Gebruikt","5","5","4x4","02/2023"
"1654879224-388","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=9","Jaguar F-Type 3.0 V6 S/C 400 Sport 400pk RWD Aut. | Climate PackElektrische achterklep, Panorama dak, Sportstoelen, Lederen stuurwiel, Navigatiesysteem, Regensensor, Airbag passagier, Airbag bestuurder","https://www.autoscout24.nl/aanbod/jaguar-f-type-3-0-v6-s-c-400-sport-400pk-rwd-aut-climate-pack-benzine-zwart-a4372f11-6a55-4af1-9340-3997d0193c10","Jaguar","F-Type","€ 79.950,-1","19.200 km","Automatisch","06/2018","Benzine","294 kW (400 PK)","Autobedrijf","Gebruikt","3","2","Achter","null"
"1654880466-502","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=15","Land Rover Range Rover 5.0 V8 SC Autobiography Rear Seat EntertainmentElektrische achterklep, Stoelventilatie, Electronic Stability Program, 4x4, Parkeerhulp met camera, Stoelverwarming, Alarm, Schakelflippers","https://www.autoscout24.nl/aanbod/land-rover-range-rover-5-0-v8-sc-autobiography-rear-seat-entertainment-benzine-wit-66380539-268f-4aee-b96c-d20ca39a0a08","Land Rover","Range Rover","€ 129.900,-","62.954 km","Automatisch","08/2019","Benzine","386 kW (525 PK)","Autobedrijf","Gebruikt","5","5","4x4","08/2023"
"1654877771-255","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=2","Porsche Panamera 4.8 Turbo met approved garantie","https://www.autoscout24.nl/aanbod/porsche-panamera-4-8-turbo-met-approved-garantie-benzine-wit-72b74ea0-f601-49e8-bdaa-c675cc01881c","Porsche","Panamera","€ 38.500,-","153.300 km","-","07/2010","Benzine","368 kW (500 PK)","Particulier","Gebruikt","4","4","null","07/2022"
"1654880311-488","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=14","Audi RS4 Cabriolet 4.2 V8 Quattro *Handgeschakeld*Dealer odAirconditioning, Climate Control, Regensensor, Navigatiesysteem, Alarm, Xenon verlichting, Bandenspanningscontrolesysteem, Cruise Control","https://www.autoscout24.nl/aanbod/audi-rs4-cabriolet-4-2-v8-quattro-handgeschakeld-dealer-od-benzine-grijs-9895318f-7f42-4b4c-a367-4df8fe5f1a10","Audi","RS4","€ 54.950,-1","83.180 km","Handgeschakeld","05/2006","Benzine","310 kW (421 PK)","Autobedrijf","Gebruikt","2","4","4x4","Nieuw"
"1654880393-496","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=14","Porsche Cayenne 3.0 S E-Hybrid [ Panorama Sportchrono Leder Navi ]Panorama dak, Verkeersbordherkenning, Keyless Entry, Sportstoelen, Navigatiesysteem, Parkeerhulp met camera, ABS, Parkeerhulp voor","https://www.autoscout24.nl/aanbod/porsche-cayenne-3-0-s-e-hybrid-panorama-sportchrono-leder-navi-elektro-benzine-blauw-5dc0c422-dff2-4ac8-b609-eaa8d3af5231","Porsche","Cayenne","€ 47.945,-1","123.083 km","Automatisch","11/2015","Elektro/Benzine","245 kW (333 PK)","Autobedrijf","Gebruikt","5","5","null","11/2023"
"1654880644-518","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=16","Mercedes-Benz GLE 53 AMG 4MATIC+ Premium Plus | Panoramadak | Burmester | T","https://www.autoscout24.nl/aanbod/mercedes-benz-gle-53-amg-4matic-premium-plus-panoramadak-burmester-t-benzine-zwart-91a628ac-cd33-4258-a8c6-a2f71615e282","Mercedes-Benz","GLE 53 AMG","€ 132.850,-","11.019 km","Automatisch","04/2020","Benzine","320 kW (435 PK)","Autobedrijf","Gebruikt","5","5","4x4","04/2024"
"1654881467-593","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=19","SEAT Leon 2.0 TSI CUPRA 300 PANO CARPLAY ACC DAB CAMERA SEATPanorama dak, Adaptieve Cruise Control, Alarm, Sportstoelen, Apple CarPlay, Cruise Control, Mistlampen, ABS","https://www.autoscout24.nl/aanbod/seat-leon-2-0-tsi-cupra-300-pano-carplay-acc-dab-camera-seat-benzine-zwart-639fbfe3-eb53-4b3e-9a62-a71a6eaa8e7f","SEAT","Leon","€ 29.944,-","55.413 km","Automatisch","03/2017","Benzine","221 kW (300 PK)","Autobedrijf","Gebruikt","5","5","Voor","null"
"1654878952-363","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=8","BMW M4 Coupe | Navi | Carbon dak | LED | Dealer onderhoudSportstoelen, LED verlichting, Grootlichtassistent, Bandenspanningscontrolesysteem, Alarm, Sportonderstel, Multifunctioneel stuurwiel, Zij-airbags","https://www.autoscout24.nl/aanbod/bmw-m4-coupe-navi-carbon-dak-led-dealer-onderhoud-benzine-grijs-feba9667-71cd-437d-8bb3-868c11ebe52b","BMW","M4","€ 46.900,-","84.732 km","Automatisch","06/2014","Benzine","317 kW (431 PK)","Autobedrijf","Gebruikt","2","4","Achter","Nieuw"
"1654880528-508","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=15","Audi A3 Sportback 1.4 e-tron Lease Edition | incl btw | Na","https://www.autoscout24.nl/aanbod/audi-a3-sportback-1-4-e-tron-lease-edition-incl-btw-na-elektro-benzine-wit-fe3579cb-d26e-4599-92c9-2fa12c3fe877","Audi","A3","€ 19.995,-","178.942 km","Automatisch","12/2016","Elektro/Benzine","-","Autobedrijf","Gebruikt","5","5","Voor","Nieuw"
"1654880960-546","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=17","Porsche Cayman 718 S 2.5 | Bi-color leder | PDC | 19 Inch |Alarm, Climate Control, Centrale deurvergrendeling met afstandsbediening, LED dagrijverlichting, Stuurwielverwarming, Navigatiesysteem, Airbag passagier, Cruise Control","https://www.autoscout24.nl/aanbod/porsche-cayman-718-s-2-5-bi-color-leder-pdc-19-inch-benzine-rood-f77ec08d-41c4-4ac4-8827-dcbdae565d04","Porsche","Cayman","€ 65.945,-","33.417 km","Automatisch","02/2017","Benzine","257 kW (349 PK)","Autobedrijf","Gebruikt","3","2","Achter","Nieuw"
"1654881674-612","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=20","Audi A6 3.0 TFSI quattro Sport EditionSportstoelen, LED verlichting, Keyless Entry, Radio, 4x4, Airbag passagier, Sportonderstel, Start/Stop-systeem","https://www.autoscout24.nl/aanbod/audi-a6-3-0-tfsi-quattro-sport-edition-benzine-grijs-01981497-f12d-49c3-ab76-8ee750f167f2","Audi","A6","€ 26.999,-","85.385 km","Automatisch","12/2014","Benzine","245 kW (333 PK)","Autobedrijf","Gebruikt","4","5","4x4","12/2022"
"1654881633-608","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=20","Mercedes-Benz S 350 BlueTEC Prestige Plus | Nightvision | PanoramadakLuchtvering, LED verlichting, Panorama dak, Lane Departure Warning Systeem, Verkeersbordherkenning, Keyless Entry, Adaptieve Cruise Control, Dodehoekdetectie","https://www.autoscout24.nl/aanbod/mercedes-benz-s-350-bluetec-prestige-plus-nightvision-panoramadak-diesel-zwart-505d43ff-cde6-4c03-a8dc-41bc753f8973","Mercedes-Benz","S 350","€ 44.950,-","97.775 km","Automatisch","02/2015","Diesel","190 kW (258 PK)","Autobedrijf","Gebruikt","4","5","Achter","Nieuw"
"1654880664-520","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=16","Audi A4 Cabriolet 3.0 V6 ExclusiveWind deflector, Airbag bestuurder, CD, Elektrische stoelverstelling, Armsteun, Xenon verlichting, Elektrische ramen, Lederen stuurwiel","https://www.autoscout24.nl/aanbod/audi-a4-cabriolet-3-0-v6-exclusive-benzine-zwart-35a31887-967a-4c1f-8c71-e302e9f23b67","Audi","A4","€ 6.450,-","285.609 km","Automatisch","04/2002","Benzine","163 kW (222 PK)","Autobedrijf","Gebruikt","2","4","Voor","05/2023"
"1654879741-436","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=11","Mercedes-Benz C 250 Sport 211Pk Automaat (SPORTSTOELEN, DIAMOND GRILL,LED verlichting, Sportstoelen, Lederen stuurwiel, Sportonderstel, Elektrische stoelverstelling, Armsteun, Isofix, Alarm","https://www.autoscout24.nl/aanbod/mercedes-benz-c-250-sport-211pk-automaat-sportstoelen-diamond-grill-benzine-wit-c9d149f5-d0e2-434a-884a-2aa814af6738","Mercedes-Benz","C 250","€ 23.945,-","131.391 km","Automatisch","01/2017","Benzine","155 kW (211 PK)","Autobedrijf","Gebruikt","4","5","Achter","Nieuw"
"1654878320-305","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=5","Porsche 992 3.0 Carrera 4 Targa | Sport Chrono | Sportstoelen","https://www.autoscout24.nl/aanbod/porsche-992-3-0-carrera-4-targa-sport-chrono-sportstoelen-benzine-zwart-8f519c55-2bee-42d0-ad98-c791afaf527b","Porsche","992","€ 177.950,-","6.088 km","Automatisch","10/2020","Benzine","283 kW (385 PK)","Autobedrijf","Gebruikt","2","4","4x4","null"
"1654880908-541","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=17","Mercedes-Benz AMG GT 4-Door Coupe 43 4MATIC+ Premium Plus","https://www.autoscout24.nl/aanbod/mercedes-benz-amg-gt-4-door-coupe-43-4matic-premium-plus-benzine-grijs-ec637970-d42e-460f-abfe-bd91a3670e94","Mercedes-Benz","AMG GT","€ 129.400,-1","18.715 km","Automatisch","07/2020","Benzine","270 kW (367 PK)","Autobedrijf","Gebruikt","5","4","4x4","Nieuw"
"1654879348-399","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=10","Volvo V60 2.0 D3 Nordic+ automaatAlarm, Pechset, Voorruitverwarming, Climate Control, Handsfree, Standkachel, Radio, Regensensor","https://www.autoscout24.nl/aanbod/volvo-v60-2-0-d3-nordic-automaat-diesel-zwart-5c672cd2-72b7-46d5-8b61-cd13cf78b08c","Volvo","V60","€ 15.999,-","169.900 km","Automatisch","04/2017","Diesel","110 kW (150 PK)","Particulier","Gebruikt","5","5","null","07/2023"
"1654878994-367","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=8","Mercedes-Benz S 63 AMG 4M Lang PANODAK WIDESCREEN VOL!Head-up display, Luchtvering, Sportonderstel, Multifunctioneel stuurwiel, Airconditioning, Lichtmetalen velgen, Bandenspanningscontrolesysteem, Hill-Hold Control","https://www.autoscout24.nl/aanbod/mercedes-benz-s-63-amg-4m-lang-panodak-widescreen-vol-benzine-blauw-09472392-fe8a-470b-af04-589d4133b65a","Mercedes-Benz","S 63 AMG","€ 69.999,-1","189.665 km","Automatisch","05/2016","Benzine","430 kW (585 PK)","Autobedrijf","Gebruikt","4","null","null","Nieuw"
"1654879025-370","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=8","Mercedes-Benz C 63 AMG l Panorama l 360c l Carbon l Burmeister l dealer oAlarm, Elektrische stoelverstelling, Panorama dak, Sportstoelen, Climate Control, Parkeerhulp met camera, Sportonderstel, Navigatiesysteem","https://www.autoscout24.nl/aanbod/mercedes-benz-c-63-amg-l-panorama-l-360c-l-carbon-l-burmeister-l-dealer-o-benzine-wit-0d8add7f-6b6e-415a-aabf-5f343f1d4dc2","Mercedes-Benz","C 63 AMG","€ 48.995,-","127.383 km","Automatisch","08/2017","Benzine","350 kW (476 PK)","Autobedrijf","Gebruikt","4","5","Achter","08/2023"
"1654877750-253","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=2","Mercedes-Benz C 400 4MATIC Prestige AMG Burmester Audio | Panoramadak","https://www.autoscout24.nl/aanbod/mercedes-benz-c-400-4matic-prestige-amg-burmester-audio-panoramadak-benzine-zwart-6b6242a5-2d4f-475e-bce4-96205640b4ec","Mercedes-Benz","C 400","€ 38.945,-1","90.212 km","Automatisch","09/2016","Benzine","245 kW (333 PK)","Autobedrijf","Gebruikt","4","5","4x4","05/2024"
